"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","batch_sd","batch_balanced","n_per_group","median_lib"
12766,130,126,4,1720,0.0732558139534884,0.969230769230769,0.0307692307692308,0.1,0.257579355807377,0,0,0,66,3687,0.982370490914022,"TMMwsp",TRUE,FALSE,1.23554147186547,"ctc_pipeline",1,1,0,TRUE,5,1104396.5
10566,196,163,33,1720,0.0947674418604651,0.831632653061224,0.168367346938776,0.1,0.242973090142954,0,0,0,66,3999,0.983495873968492,"TMMwsp",FALSE,FALSE,0.910222478162576,"batch_removed",1,1,0,TRUE,5,1104396.5
10566,150,139,11,1720,0.0808139534883721,0.926666666666667,0.0733333333333333,0.1,0.25261241932495,0,0,0,66,3999,0.983495873968492,"TMMwsp",FALSE,FALSE,0.996420134728567,"batch_ignored",1,1,0,TRUE,5,1104396.5
12934,131,129,2,1720,0.075,0.984732824427481,0.0152671755725191,0.1,0.265180494371714,0,0,0,73,3676,0.981229597388466,"TMMwsp",TRUE,FALSE,1.23613700495889,"ctc_pipeline",1,2,0.35,TRUE,5,769683
10659,183,150,33,1720,0.0872093023255814,0.819672131147541,0.180327868852459,0.1,0.237841402728799,0,0,0,73,4018,0.981831757093081,"TMMwsp",FALSE,FALSE,0.907752470782446,"batch_removed",1,2,0.35,TRUE,5,769683
10659,127,125,2,1720,0.0726744186046512,0.984251968503937,0.015748031496063,0.1,0.259056201842967,0,0,0,73,4018,0.981831757093081,"TMMwsp",FALSE,FALSE,1.11907081358478,"batch_ignored",1,2,0.35,TRUE,5,769683
12804,113,108,5,1720,0.0627906976744186,0.955752212389381,0.0442477876106195,0.1,0.262841230848563,0,0.00254452926208651,0,55,3562,0.984839977540708,"TMMwsp",TRUE,FALSE,1.2048750300521,"ctc_pipeline",1,3,0.7,TRUE,5,1102030
10456,190,145,45,1720,0.0843023255813953,0.763157894736842,0.236842105263158,0.1,0.231920112406463,0,0.00254452926208651,0,55,3869,0.985784440423882,"TMMwsp",FALSE,FALSE,0.858840030169147,"batch_removed",1,3,0.7,TRUE,5,1102030
10456,55,55,0,1720,0.0319767441860465,1,0,0.1,0.241816753984118,0,0.00254452926208651,0,55,3869,0.985784440423882,"TMMwsp",FALSE,FALSE,1.38777171563829,"batch_ignored",1,3,0.7,TRUE,5,1102030
13731,89,88,1,1720,0.0511627906976744,0.98876404494382,0.0112359550561798,0.1,0.228811021564799,0,0,0,62,2742,0.984682713347921,"TMMwsp",TRUE,FALSE,1.40166974482728,"ctc_pipeline",1,4,0,FALSE,5,1013270
10552,840,252,588,1720,0.146511627906977,0.3,0.7,0.1,0.183596957092326,0,0,0,62,3849,0.983891919979215,"TMMwsp",FALSE,FALSE,0.875825125328447,"batch_removed",1,4,0,FALSE,5,1013270
10552,167,154,13,1720,0.0895348837209302,0.922155688622755,0.0778443113772455,0.1,0.260420216106623,0,0,0,62,3849,0.983891919979215,"TMMwsp",FALSE,FALSE,1.01543932083685,"batch_ignored",1,4,0,FALSE,5,1013270
14301,86,84,2,1720,0.0488372093023256,0.976744186046512,0.0232558139534884,0.1,0.230917612744535,0,0,0,73,2664,0.980855855855856,"TMMwsp",TRUE,FALSE,1.29338539826875,"ctc_pipeline",1,5,0.35,FALSE,5,1073957
