"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","n_per_group","median_lib"
11620,51,48,3,1720,0.027906976744186,0.941176470588235,0.0588235294117647,0.1,0.175219281374345,0,0,0,39,3232,0.988861386138614,"TMMwsp",TRUE,FALSE,1.16664689810127,"ctc_pipeline",1,1,3,611816
3987,55,51,4,1720,0.0296511627906977,0.927272727272727,0.0727272727272727,0.05,0.163600232498428,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.685331004630081,"edger_default",1,1,3,611816
3987,39,36,3,1720,0.0209302325581395,0.923076923076923,0.0769230769230769,0.05,0.157129217375092,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",1,1,3,611816
6791,120,83,37,1720,0.0482558139534884,0.691666666666667,0.308333333333333,0.05,0.16682562085686,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"deseq2",1,1,3,611816
12866,145,135,10,1720,0.0784883720930233,0.931034482758621,0.0689655172413793,0.1,0.268195003446613,0,0,0,68,3537,0.982188295165394,"TMMwsp",TRUE,FALSE,1.20175932467031,"ctc_pipeline",1,2,5,720488
4564,148,142,6,1720,0.0825581395348837,0.959459459459459,0.0405405405405405,0.05,0.230425129012713,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.651888529887966,"edger_default",1,2,5,720488
4564,108,106,2,1720,0.0616279069767442,0.981481481481482,0.0185185185185185,0.05,0.214413659228448,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",1,2,5,720488
9040,184,154,30,1720,0.0895348837209302,0.83695652173913,0.16304347826087,0.05,0.240396939737545,0,0,0,7,0,NA,NA,TRUE,FALSE,NA,"deseq2",1,2,5,720488
11604,221,210,11,1720,0.122093023255814,0.950226244343891,0.0497737556561086,0.1,0.318267716804959,0,0.00254452926208651,0,74,3695,0.979972936400541,"TMMwsp",TRUE,FALSE,1.12240584572941,"ctc_pipeline",1,3,8,958485.5
4395,188,180,8,1720,0.104651162790698,0.957446808510638,0.0425531914893617,0.05,0.238481003393777,0,0.00254452926208651,0,0,0,NA,"TMM",TRUE,FALSE,0.616919166904826,"edger_default",1,3,8,958485.5
4395,161,154,7,1720,0.0895348837209302,0.956521739130435,0.0434782608695652,0.05,0.221126772031418,0,0.00254452926208651,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",1,3,8,958485.5
10095,190,182,8,1720,0.105813953488372,0.957894736842105,0.0421052631578947,0.05,0.29682392389581,0,0.00254452926208651,0,10,0,NA,NA,TRUE,FALSE,NA,"deseq2",1,3,8,958485.5
12278,60,60,0,1720,0.0348837209302326,1,0,0.1,0.199306836339374,0,0,0,52,3186,0.986503452605147,"TMMwsp",TRUE,FALSE,1.16894430295726,"ctc_pipeline",2,1,3,1107275.5
4977,71,70,1,1720,0.0406976744186047,0.985915492957746,0.0140845070422535,0.05,0.18702763855317,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.783357955067103,"edger_default",2,1,3,1107275.5
4977,45,45,0,1720,0.0261627906976744,1,0,0.05,0.175388605859499,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",2,1,3,1107275.5
7437,136,105,31,1720,0.061046511627907,0.772058823529412,0.227941176470588,0.05,0.183143097567847,0,0,0,4,0,NA,NA,TRUE,FALSE,NA,"deseq2",2,1,3,1107275.5
13335,131,128,3,1720,0.0744186046511628,0.977099236641221,0.0229007633587786,0.1,0.260495048739713,0,0.00472813238770686,0,68,3657,0.983319660924255,"TMMwsp",TRUE,FALSE,1.18137444788079,"ctc_pipeline",2,2,5,926321
5283,133,130,3,1720,0.0755813953488372,0.977443609022556,0.0225563909774436,0.05,0.225127858573865,0,0.00472813238770686,0,0,0,NA,"TMM",TRUE,FALSE,0.704621338075115,"edger_default",2,2,5,926321
5283,105,104,1,1720,0.0604651162790698,0.99047619047619,0.00952380952380952,0.05,0.215074511019249,0,0.00236406619385343,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",2,2,5,926321
9348,149,139,10,1720,0.0808139534883721,0.932885906040268,0.0671140939597315,0.05,0.235452062570454,0,0.00236406619385343,0,6,0,NA,NA,TRUE,FALSE,NA,"deseq2",2,2,5,926321
10910,214,201,13,1720,0.116860465116279,0.939252336448598,0.0607476635514019,0.1,0.296485862829468,0,0,0,97,3880,0.975,"TMMwsp",TRUE,FALSE,1.1798405964913,"ctc_pipeline",2,3,8,716822
3541,173,162,11,1720,0.0941860465116279,0.936416184971098,0.0635838150289017,0.05,0.21357980719158,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.620312676446062,"edger_default",2,3,8,716822
3541,128,121,7,1720,0.0703488372093023,0.9453125,0.0546875,0.05,0.195048039306612,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",2,3,8,716822
9387,182,171,11,1720,0.0994186046511628,0.93956043956044,0.0604395604395604,0.05,0.266543029114509,0,0,0,9,0,NA,NA,TRUE,FALSE,NA,"deseq2",2,3,8,716822
12830,64,61,3,1720,0.0354651162790698,0.953125,0.046875,0.1,0.216099616708418,0,0,0,57,3243,0.985507246376812,"TMMwsp",TRUE,FALSE,1.12066577186627,"ctc_pipeline",3,1,3,1105136.5
5486,73,71,2,1720,0.0412790697674419,0.972602739726027,0.0273972602739726,0.05,0.20006927964307,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.794809044788579,"edger_default",3,1,3,1105136.5
5486,58,55,3,1720,0.0319767441860465,0.948275862068966,0.0517241379310345,0.05,0.188344420849093,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",3,1,3,1105136.5
8082,132,102,30,1720,0.0593023255813954,0.772727272727273,0.227272727272727,0.05,0.193577615517834,0,0,0,3,0,NA,NA,TRUE,FALSE,NA,"deseq2",3,1,3,1105136.5
11798,110,108,2,1720,0.0627906976744186,0.981818181818182,0.0181818181818182,0.1,0.241386102442784,0,0,0,50,3745,0.987449933244326,"TMMwsp",TRUE,FALSE,1.35516764855797,"ctc_pipeline",3,2,5,629120.5
3762,116,115,1,1720,0.0668604651162791,0.991379310344828,0.00862068965517241,0.05,0.205290616190854,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.754954320864851,"edger_default",3,2,5,629120.5
3762,98,95,3,1720,0.0552325581395349,0.969387755102041,0.0306122448979592,0.05,0.191518510670562,0,0,0,0,0,NA,NA,TRUE,FALSE,NA,"limma_voom",3,2,5,629120.5
7779,130,121,9,1720,0.0703488372093023,0.930769230769231,0.0692307692307692,0.05,0.217523776595,0,0,0,4,0,NA,NA,TRUE,FALSE,NA,"deseq2",3,2,5,629120.5
