"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","lib_lo","lib_hi","n_per_group","median_lib"
8845,59,54,5,1720,0.0313953488372093,0.915254237288136,0.0847457627118644,0.1,0.165319496848089,0,0,0,20,3662,0.994538503549973,"TMMwsp",TRUE,FALSE,1.68259644688788,"ctc_pipeline",1,1,1e+05,3e+05,5,198851
8845,59,54,5,1720,0.0313953488372093,0.915254237288136,0.0847457627118644,0.1,0.165370932434187,0,0,0,20,3662,0.994538503549973,"TMMwsp",TRUE,FALSE,1.68259644688788,"fix_filter",1,1,1e+05,3e+05,5,198851
5995,59,54,5,1720,0.0313953488372093,0.915254237288136,0.0847457627118644,0.1,0.15699808007608,0,0,0,20,3922,0.994900560938297,"TMMwsp",TRUE,FALSE,1.03643987785755,"ablate_filter",1,1,1e+05,3e+05,5,198851
11970,101,98,3,1720,0.0569767441860465,0.97029702970297,0.0297029702970297,0.1,0.239006704440787,0,0,0,55,3772,0.98541887592789,"TMMwsp",TRUE,FALSE,1.34734248067925,"ctc_pipeline",1,2,3e+05,9e+05,5,537346.5
11970,101,98,3,1720,0.0569767441860465,0.97029702970297,0.0297029702970297,0.1,0.238874025094613,0,0,0,55,3772,0.98541887592789,"TMMwsp",TRUE,FALSE,1.34734248067925,"fix_filter",1,2,3e+05,9e+05,5,537346.5
7995,122,114,8,1720,0.0662790697674419,0.934426229508197,0.0655737704918033,0.1,0.222491260207359,0,0,0,55,4072,0.986493123772102,"TMMwsp",TRUE,FALSE,0.822059297295661,"ablate_filter",1,2,3e+05,9e+05,5,537346.5
14950,194,183,11,1720,0.106395348837209,0.943298969072165,0.056701030927835,0.1,0.337770662467375,0,0.00254452926208651,0,99,3144,0.97264631043257,"TMMwsp",TRUE,FALSE,0.993623020588579,"ctc_pipeline",1,3,1e+06,3e+06,5,2334407
14950,194,183,11,1720,0.106395348837209,0.943298969072165,0.056701030927835,0.1,0.337517092196423,0,0.00254452926208651,0,99,3144,0.97264631043257,"TMMwsp",TRUE,FALSE,0.993623020588579,"fix_filter",1,3,1e+06,3e+06,5,2334407
10782,209,195,14,1720,0.113372093023256,0.933014354066986,0.0669856459330144,0.1,0.32506103312068,0,0.00254452926208651,0,99,3465,0.971428571428571,"TMMwsp",TRUE,FALSE,0.686650556109995,"ablate_filter",1,3,1e+06,3e+06,5,2334407
17583,421,394,27,1720,0.22906976744186,0.935866983372922,0.0641330166270784,0.1,0.49072549715014,0.183333333333333,0.0186666666666667,0,120,2265,0.984547461368653,"TMMwsp",TRUE,FALSE,0.679705527899168,"ctc_pipeline",1,4,5e+06,1.5e+07,5,9449341
17339,422,394,28,1720,0.22906976744186,0.933649289099526,0.0663507109004739,0.1,0.490802727683843,0.183333333333333,0.0186666666666667,0,120,2486,0.985116653258246,"TMMwsp",TRUE,FALSE,0.673040488912716,"fix_filter",1,4,5e+06,1.5e+07,5,9449341
13958,444,407,37,1720,0.236627906976744,0.916666666666667,0.0833333333333333,0.1,0.474245574906884,0.158333333333333,0.0186666666666667,7,120,2786,0.964824120603015,"TMMwsp",TRUE,FALSE,0.514376653042381,"ablate_filter",1,4,5e+06,1.5e+07,5,9449341
18954,774,700,74,1720,0.406976744186047,0.904392764857881,0.0956072351421189,0.1,0.624504158000807,1,0.108374384236453,1,120,716,0.998603351955307,"TMMwsp",TRUE,FALSE,0.417766148297088,"ctc_pipeline",1,5,2e+07,6e+07,5,44799033
18587,781,703,78,1720,0.408720930232558,0.900128040973111,0.0998719590268886,0.1,0.624217213147313,1,0.108374384236453,1,120,1745,0.999426934097421,"TMMwsp",TRUE,FALSE,0.407163860802699,"fix_filter",1,5,2e+07,6e+07,5,44799033
17546,786,708,78,1720,0.411627906976744,0.900763358778626,0.099236641221374,0.1,0.622363115736406,1,0.108374384236453,3,120,1840,0.998369565217391,"TMMwsp",TRUE,FALSE,0.373340801685393,"ablate_filter",1,5,2e+07,6e+07,5,44799033
8629,41,41,0,1720,0.0238372093023256,1,0,0.1,0.165820944738662,0,0,0,16,3734,0.995715050883771,"TMMwsp",TRUE,FALSE,1.70593391242045,"ctc_pipeline",2,1,1e+05,3e+05,5,185363
8629,41,41,0,1720,0.0238372093023256,1,0,0.1,0.165133098066662,0,0,0,16,3734,0.995715050883771,"TMMwsp",TRUE,FALSE,1.70593391242045,"fix_filter",2,1,1e+05,3e+05,5,185363
5785,46,45,1,1720,0.0261627906976744,0.978260869565217,0.0217391304347826,0.1,0.162490317523108,0,0,0,16,3965,0.995964691046658,"TMMwsp",TRUE,FALSE,0.994275289200387,"ablate_filter",2,1,1e+05,3e+05,5,185363
12159,125,122,3,1720,0.0709302325581395,0.976,0.024,0.1,0.234793886214449,0,0.00472813238770686,0,51,3755,0.98641810918775,"TMMwsp",TRUE,FALSE,1.33722665912299,"ctc_pipeline",2,2,3e+05,9e+05,5,509449
12159,125,122,3,1720,0.0709302325581395,0.976,0.024,0.1,0.235032470799324,0,0.00472813238770686,0,51,3755,0.98641810918775,"TMMwsp",TRUE,FALSE,1.33722665912299,"fix_filter",2,2,3e+05,9e+05,5,509449
8104,131,128,3,1720,0.0744186046511628,0.977099236641221,0.0229007633587786,0.1,0.224310441734168,0,0.00472813238770686,0,51,4102,0.987567040468064,"TMMwsp",TRUE,FALSE,0.815377682076671,"ablate_filter",2,2,3e+05,9e+05,5,509449
14624,216,209,7,1720,0.121511627906977,0.967592592592593,0.0324074074074074,0.1,0.330486211451154,0,0,0,104,3209,0.973511997507012,"TMMwsp",TRUE,FALSE,1.01936124080004,"ctc_pipeline",2,3,1e+06,3e+06,5,2298083
14624,216,209,7,1720,0.121511627906977,0.967592592592593,0.0324074074074074,0.1,0.330390735852028,0,0,0,104,3209,0.973511997507012,"TMMwsp",TRUE,FALSE,1.01936124080004,"fix_filter",2,3,1e+06,3e+06,5,2298083
10265,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.315351732521875,0,0,0,104,3515,0.970412517780939,"TMMwsp",TRUE,FALSE,0.663145388479324,"ablate_filter",2,3,1e+06,3e+06,5,2298083
17470,379,360,19,1720,0.209302325581395,0.949868073878628,0.050131926121372,0.1,0.462283866510446,0.075,0.0153846153846154,0,119,2420,0.988842975206612,"TMMwsp",TRUE,FALSE,0.710560942728888,"ctc_pipeline",2,4,5e+06,1.5e+07,5,11179531.5
17211,381,362,19,1720,0.21046511627907,0.9501312335958,0.0498687664041995,0.1,0.46241895475427,0.0916666666666667,0.0153846153846154,0,119,2736,0.989035087719298,"TMMwsp",TRUE,FALSE,0.702919030117015,"fix_filter",2,4,5e+06,1.5e+07,5,11179531.5
14023,409,378,31,1720,0.219767441860465,0.924205378973105,0.0757946210268949,0.1,0.451314578944068,0.1,0.0128205128205128,3,119,3069,0.970348647768003,"TMMwsp",TRUE,FALSE,0.544039569383231,"ablate_filter",2,4,5e+06,1.5e+07,5,11179531.5
18919,732,682,50,1720,0.396511627906977,0.931693989071038,0.0683060109289618,0.1,0.633267032031725,0.983333333333333,0.0833333333333333,0,120,703,1,"TMMwsp",TRUE,FALSE,0.427480659527856,"ctc_pipeline",2,5,2e+07,6e+07,5,47140150
18577,748,690,58,1720,0.401162790697674,0.922459893048128,0.0775401069518717,0.1,0.632555685479902,0.983333333333333,0.0860215053763441,0,120,1708,0.999414519906323,"TMMwsp",TRUE,FALSE,0.417950409144228,"fix_filter",2,5,2e+07,6e+07,5,47140150
17598,759,698,61,1720,0.405813953488372,0.919631093544137,0.080368906455863,0.1,0.630167474822183,0.983333333333333,0.0860215053763441,2,120,1818,0.997799779977998,"TMMwsp",TRUE,FALSE,0.385099353682751,"ablate_filter",2,5,2e+07,6e+07,5,47140150
9476,59,55,4,1720,0.0319767441860465,0.932203389830508,0.0677966101694915,0.1,0.177074433719352,0,0,0,19,3796,0.994994731296101,"TMMwsp",TRUE,FALSE,1.65152775929977,"ctc_pipeline",3,1,1e+05,3e+05,5,214909
9476,59,55,4,1720,0.0319767441860465,0.932203389830508,0.0677966101694915,0.1,0.176432550419344,0,0,0,19,3796,0.994994731296101,"TMMwsp",TRUE,FALSE,1.65152775929977,"fix_filter",3,1,1e+05,3e+05,5,214909
6425,62,58,4,1720,0.0337209302325581,0.935483870967742,0.0645161290322581,0.1,0.169279897846111,0,0,0,19,4065,0.995325953259533,"TMMwsp",TRUE,FALSE,1.01828116060774,"ablate_filter",3,1,1e+05,3e+05,5,214909
11237,107,105,2,1720,0.061046511627907,0.981308411214953,0.0186915887850467,0.1,0.22165869449765,0,0,0,34,3803,0.991059689718643,"TMMwsp",TRUE,FALSE,1.45106400207541,"ctc_pipeline",3,2,3e+05,9e+05,5,540248
11237,107,105,2,1720,0.061046511627907,0.981308411214953,0.0186915887850467,0.1,0.221907746383743,0,0,0,34,3803,0.991059689718643,"TMMwsp",TRUE,FALSE,1.45106400207541,"fix_filter",3,2,3e+05,9e+05,5,540248
7521,109,107,2,1720,0.0622093023255814,0.981651376146789,0.018348623853211,0.1,0.203496203715311,0,0,0,34,4055,0.991615289765721,"TMMwsp",TRUE,FALSE,0.895003092349606,"ablate_filter",3,2,3e+05,9e+05,5,540248
