"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","exclusive_cpm","n_per_group","median_lib"
12819,128,121,7,1720,0.0703488372093023,0.9453125,0.0546875,0.1,0.248799449558988,0,0,0,9,3696,0.997564935064935,"TMMwsp",TRUE,FALSE,1.19539036411104,"ctc_pipeline",1,1,0.1,5,922620.5
9123,148,137,11,1720,0.0796511627906977,0.925675675675676,0.0743243243243243,0.1,0.238126359597946,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.13453241615914,"ablate_exclusive",1,1,0.1,5,922620.5
4646,140,134,6,1720,0.077906976744186,0.957142857142857,0.0428571428571429,0.05,0.214989820530275,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.664950288049155,"edger_default",1,1,0.1,5,922620.5
12894,139,129,10,1720,0.075,0.928057553956835,0.0719424460431655,0.1,0.262147226383181,0,0,0,40,3649,0.989038092628117,"TMMwsp",TRUE,FALSE,1.23076501317285,"ctc_pipeline",1,2,0.5,5,821673
9245,144,133,11,1720,0.0773255813953488,0.923611111111111,0.0763888888888889,0.1,0.248897644094534,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.17382026046696,"ablate_exclusive",1,2,0.5,5,821673
4798,139,129,10,1720,0.075,0.928057553956835,0.0719424460431655,0.05,0.223112149216724,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.726285082440476,"edger_default",1,2,0.5,5,821673
13091,134,131,3,1720,0.0761627906976744,0.977611940298508,0.0223880597014925,0.1,0.270019044127564,0,0.00254452926208651,0,57,3609,0.984760321418676,"TMMwsp",TRUE,FALSE,1.20122366206116,"ctc_pipeline",1,3,1,5,1073275.5
9482,151,146,5,1720,0.0848837209302326,0.966887417218543,0.033112582781457,0.1,0.254267319980703,0,0.00254452926208651,0,2,0,NA,"TMMwsp",TRUE,FALSE,1.14434388229759,"ablate_exclusive",1,3,1,5,1073275.5
5254,139,136,3,1720,0.0790697674418605,0.97841726618705,0.0215827338129496,0.05,0.234811639025421,0,0.00254452926208651,0,0,0,NA,"TMM",TRUE,FALSE,0.745572022037341,"edger_default",1,3,1,5,1073275.5
12423,132,127,5,1720,0.0738372093023256,0.962121212121212,0.0378787878787879,0.1,0.267784255698687,0,0,0,77,3682,0.982889733840304,"TMMwsp",TRUE,FALSE,1.31199972072055,"ctc_pipeline",1,4,2,5,854440
