"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","n_per_group","prop_de","n_exclusive","median_lib"
11517,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3274,1,"TMMwsp",TRUE,FALSE,1.22707745851281,"ctc_pipeline",1,1,3,0,0,639688.5
3910,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,0,NA,"TMM",TRUE,FALSE,0.758492040336822,"edger_default",1,1,3,0,0,639688.5
8104,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,4194,1,"TMMwsp",TRUE,FALSE,0.841849137498619,"ablate_filter",1,1,3,0,0,639688.5
8243,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.16069371084674,"ablate_exclusive",1,1,3,0,0,639688.5
11517,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3274,1,"TMM",TRUE,FALSE,1.23983382342237,"ablate_tmmwsp",1,1,3,0,0,639688.5
11517,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3274,1,"TMMwsp",TRUE,FALSE,1.22707745851281,"ablate_priorcount",1,1,3,0,0,639688.5
11517,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,3274,1,"TMMwsp",TRUE,FALSE,1.22707745851281,"ablate_fdr",1,1,3,0,0,639688.5
11517,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3274,1,"TMMwsp",TRUE,FALSE,1.22707745851281,"ablate_shrinkfloor",1,1,3,0,0,639688.5
11517,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3274,1,"TMMwsp",TRUE,FALSE,1.22707745851281,"ablate_lowinput",1,1,3,0,0,639688.5
10277,1,0,1,0,NA,0,1,0.1,NA,NA,NA,0,0,4057,1,"TMMwsp",FALSE,FALSE,0.824772741654475,"batch_removed",1,1,3,0,0,639688.5
10277,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,4057,1,"TMMwsp",FALSE,FALSE,1.2625742863434,"batch_ignored",1,1,3,0,0,639688.5
11517,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3274,1,"TMMwsp",TRUE,FALSE,1.22707745851281,"fix_filter",1,1,3,0,0,639688.5
12886,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3588,1,"TMMwsp",TRUE,FALSE,1.24708675687913,"ctc_pipeline",1,2,5,0,0,772540.5
4613,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,0,NA,"TMM",TRUE,FALSE,0.701006171668946,"edger_default",1,2,5,0,0,772540.5
8505,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3892,1,"TMMwsp",TRUE,FALSE,0.759118762134563,"ablate_filter",1,2,5,0,0,772540.5
9298,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.19222847440494,"ablate_exclusive",1,2,5,0,0,772540.5
12886,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3588,1,"TMM",TRUE,FALSE,1.26486798368946,"ablate_tmmwsp",1,2,5,0,0,772540.5
12886,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3588,1,"TMMwsp",TRUE,FALSE,1.24708675687913,"ablate_priorcount",1,2,5,0,0,772540.5
12886,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,3588,1,"TMMwsp",TRUE,FALSE,1.24708675687913,"ablate_fdr",1,2,5,0,0,772540.5
12886,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3588,1,"TMMwsp",TRUE,FALSE,1.24708675687913,"ablate_shrinkfloor",1,2,5,0,0,772540.5
12886,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3588,1,"TMMwsp",TRUE,FALSE,1.24708675687913,"ablate_lowinput",1,2,5,0,0,772540.5
10659,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3883,1,"TMMwsp",FALSE,FALSE,0.915037166955742,"batch_removed",1,2,5,0,0,772540.5
10659,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3883,1,"TMMwsp",FALSE,FALSE,1.12061002058532,"batch_ignored",1,2,5,0,0,772540.5
12886,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3588,1,"TMMwsp",TRUE,FALSE,1.24708675687913,"fix_filter",1,2,5,0,0,772540.5
11447,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3393,1,"TMMwsp",TRUE,FALSE,1.1127958204858,"ctc_pipeline",1,3,8,0,0,992885
4494,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,0,NA,"TMM",TRUE,FALSE,0.641845105978851,"edger_default",1,3,8,0,0,992885
7897,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3403,1,"TMMwsp",TRUE,FALSE,0.676801269049691,"ablate_filter",1,3,8,0,0,992885
8054,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.07172474370629,"ablate_exclusive",1,3,8,0,0,992885
11447,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3393,1,"TMM",TRUE,FALSE,1.12858876724414,"ablate_tmmwsp",1,3,8,0,0,992885
11447,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3393,1,"TMMwsp",TRUE,FALSE,1.1127958204858,"ablate_priorcount",1,3,8,0,0,992885
11447,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,3393,1,"TMMwsp",TRUE,FALSE,1.1127958204858,"ablate_fdr",1,3,8,0,0,992885
11447,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3393,1,"TMMwsp",TRUE,FALSE,1.1127958204858,"ablate_shrinkfloor",1,3,8,0,0,992885
11447,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3393,1,"TMMwsp",TRUE,FALSE,1.1127958204858,"ablate_lowinput",1,3,8,0,0,992885
9990,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3402,1,"TMMwsp",FALSE,FALSE,0.919801505047925,"batch_removed",1,3,8,0,0,992885
9990,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3402,1,"TMMwsp",FALSE,FALSE,1.05131733007245,"batch_ignored",1,3,8,0,0,992885
11447,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3393,1,"TMMwsp",TRUE,FALSE,1.1127958204858,"fix_filter",1,3,8,0,0,992885
12202,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3223,1,"TMMwsp",TRUE,FALSE,1.24398899251484,"ctc_pipeline",2,1,3,0,0,1051127
4854,0,0,0,0,NA,NA,NA,0.05,NA,NA,NA,0,0,0,NA,"TMM",TRUE,FALSE,0.831761459558598,"edger_default",2,1,3,0,0,1051127
8974,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,4120,1,"TMMwsp",TRUE,FALSE,0.890291481076683,"ablate_filter",2,1,3,0,0,1051127
8979,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.20087176011541,"ablate_exclusive",2,1,3,0,0,1051127
12202,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,0,0,3223,1,"TMM",TRUE,FALSE,1.25694471521174,"ablate_tmmwsp",2,1,3,0,0,1051127
