"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","purity_cond_diff","purity_mean","purity_sd","n_per_group","median_lib"
15642,43,42,1,1720,0.0244186046511628,0.976744186046512,0.0232558139534884,0.1,0.188523609929015,0,0,0,79,3449,0.98898231371412,"TMMwsp",TRUE,FALSE,1.57722147882218,"purity_ignored",1,1,0,0.6,0.15,5,1095875.5
16770,57,55,2,1720,0.0319767441860465,0.964912280701754,0.0350877192982456,0.1,0.175196436815458,0,0,0,89,2549,0.989015300117693,"TMMwsp",TRUE,FALSE,1.42677054530333,"purity_covariate",1,1,0,0.6,0.15,5,1095875.5
15642,43,42,1,1720,0.0244186046511628,0.976744186046512,0.0232558139534884,0.1,0.188505048758675,0,0,0,79,3449,0.98898231371412,"TMMwsp",TRUE,FALSE,1.57722147882218,"purity_filtered",1,1,0,0.6,0.15,5,1095875.5
15833,54,53,1,1720,0.0308139534883721,0.981481481481482,0.0185185185185185,0.1,0.198274314549143,0,0,0,76,3232,0.99009900990099,"TMMwsp",TRUE,FALSE,1.38552105824837,"purity_ignored",1,2,0.1,0.6,0.15,5,1055374
16929,57,50,7,1720,0.0290697674418605,0.87719298245614,0.12280701754386,0.1,0.181497417864272,0,0,0,87,2396,0.991235392320534,"TMMwsp",TRUE,FALSE,1.31239242823799,"purity_covariate",1,2,0.1,0.6,0.15,5,1055374
16347,43,40,3,1720,0.0232558139534884,0.930232558139535,0.0697674418604651,0.1,0.172250092656298,0,0,0,83,2869,0.990589055420007,"TMMwsp",FALSE,FALSE,1.42539204964658,"purity_filtered",1,2,0.1,0.6,0.15,5,1055374
15509,81,66,15,1720,0.0383720930232558,0.814814814814815,0.185185185185185,0.1,0.16789231921115,0,0.00254452926208651,0,88,3519,0.986359761295823,"TMMwsp",TRUE,FALSE,1.3599679810956,"purity_ignored",1,3,0.2,0.6,0.15,5,853363.5
16617,52,47,5,1720,0.0273255813953488,0.903846153846154,0.0961538461538462,0.1,0.162373376464322,0,0,0,93,2622,0.98512585812357,"TMMwsp",TRUE,FALSE,1.39488088765967,"purity_covariate",1,3,0.2,0.6,0.15,5,853363.5
15509,81,66,15,1720,0.0383720930232558,0.814814814814815,0.185185185185185,0.1,0.167760025086443,0,0.00254452926208651,0,88,3519,0.986359761295823,"TMMwsp",TRUE,FALSE,1.3599679810956,"purity_filtered",1,3,0.2,0.6,0.15,5,853363.5
15622,2728,290,2438,1720,0.168604651162791,0.106304985337243,0.893695014662757,0.1,0.111494264825571,0.108333333333333,0.104,0,87,3619,0.987841945288754,"TMMwsp",TRUE,FALSE,1.49946192527157,"purity_ignored",1,4,0.3,0.6,0.15,5,903253
16656,1,1,0,1720,0.000581395348837209,1,0,0.1,0.104812336563903,0,0,0,97,2572,0.987169517884914,"TMMwsp",TRUE,FALSE,1.46451098084981,"purity_covariate",1,4,0.3,0.6,0.15,5,903253
15622,2728,290,2438,1720,0.168604651162791,0.106304985337243,0.893695014662757,0.1,0.111584790028239,0.108333333333333,0.104,0,87,3619,0.987841945288754,"TMMwsp",TRUE,FALSE,1.49946192527157,"purity_filtered",1,4,0.3,0.6,0.15,5,903253
16170,654,114,540,1720,0.0662790697674419,0.174311926605505,0.825688073394495,0.1,0.118659577288879,0,0.0394088669950739,0,79,3353,0.989859827020579,"TMMwsp",TRUE,FALSE,1.60722875413409,"purity_ignored",1,5,0.4,0.6,0.15,5,899404
17139,12,12,0,1720,0.00697674418604651,1,0,0.1,0.130316423609886,0,0,0,89,2364,0.989001692047377,"TMMwsp",TRUE,FALSE,1.38546929886989,"purity_covariate",1,5,0.4,0.6,0.15,5,899404
16170,654,114,540,1720,0.0662790697674419,0.174311926605505,0.825688073394495,0.1,0.118790696994149,0,0.0394088669950739,0,79,3353,0.989859827020579,"TMMwsp",TRUE,FALSE,1.60722875413409,"purity_filtered",1,5,0.4,0.6,0.15,5,899404
14994,39,39,0,1720,0.0226744186046512,1,0,0.1,0.180459848443862,0,0,0,73,3568,0.988789237668161,"TMMwsp",TRUE,FALSE,1.51249579841343,"purity_ignored",2,1,0,0.6,0.15,5,592304.5
16184,44,42,2,1720,0.0244186046511628,0.954545454545455,0.0454545454545455,0.1,0.176224263680649,0,0,0,83,2695,0.98886827458256,"TMMwsp",TRUE,FALSE,1.48140327879997,"purity_covariate",2,1,0,0.6,0.15,5,592304.5
14994,39,39,0,1720,0.0226744186046512,1,0,0.1,0.180369567248986,0,0,0,73,3568,0.988789237668161,"TMMwsp",TRUE,FALSE,1.51249579841343,"purity_filtered",2,1,0,0.6,0.15,5,592304.5
