"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"ctc_pipeline",1,"balanced",13248,1174,TRUE,FALSE
"edger_default",1,"balanced",6156,174,TRUE,FALSE
"ablate_filter",1,"balanced",8998,511,TRUE,FALSE
"ablate_exclusive",1,"balanced",10407,924,TRUE,FALSE
"ablate_tmmwsp",1,"balanced",13248,1157,TRUE,FALSE
"ablate_priorcount",1,"balanced",13248,1174,TRUE,FALSE
"ablate_fdr",1,"balanced",13248,611,TRUE,FALSE
"ablate_shrinkfloor",1,"balanced",13248,1174,TRUE,FALSE
"ablate_lowinput",1,"balanced",13248,1174,TRUE,FALSE
"batch_removed",1,"balanced",8629,2579,FALSE,FALSE
"batch_ignored",1,"balanced",8629,2912,FALSE,FALSE
"fix_filter",1,"balanced",13198,1164,TRUE,FALSE
"ctc_pipeline",2,"balanced",13180,1062,TRUE,FALSE
"edger_default",2,"balanced",6156,192,TRUE,FALSE
"ablate_filter",2,"balanced",8932,462,TRUE,FALSE
"ablate_exclusive",2,"balanced",10407,852,TRUE,FALSE
"ablate_tmmwsp",2,"balanced",13180,1084,TRUE,FALSE
"ablate_priorcount",2,"balanced",13180,1062,TRUE,FALSE
"ablate_fdr",2,"balanced",13180,527,TRUE,FALSE
"ablate_shrinkfloor",2,"balanced",13180,1062,TRUE,FALSE
"ablate_lowinput",2,"balanced",13180,1062,TRUE,FALSE
"batch_removed",2,"balanced",8563,2416,FALSE,FALSE
"batch_ignored",2,"balanced",8563,2839,FALSE,FALSE
"fix_filter",2,"balanced",13130,1044,TRUE,FALSE
"ctc_pipeline",3,"balanced",13180,1196,TRUE,FALSE
"edger_default",3,"balanced",6156,237,TRUE,FALSE
"ablate_filter",3,"balanced",8932,581,TRUE,FALSE
"ablate_exclusive",3,"balanced",10407,940,TRUE,FALSE
"ablate_tmmwsp",3,"balanced",13180,1193,TRUE,FALSE
"ablate_priorcount",3,"balanced",13180,1196,TRUE,FALSE
"ablate_fdr",3,"balanced",13180,630,TRUE,FALSE
"ablate_shrinkfloor",3,"balanced",13180,1196,TRUE,FALSE
"ablate_lowinput",3,"balanced",13180,1196,TRUE,FALSE
"batch_removed",3,"balanced",8563,2492,FALSE,FALSE
"batch_ignored",3,"balanced",8563,2822,FALSE,FALSE
"fix_filter",3,"balanced",13130,1190,TRUE,FALSE
"ctc_pipeline",4,"balanced",13256,1101,TRUE,FALSE
